Country Name;Country Code;Region;TASA_DESEMPLEO
Aruba;ABW;;
;AFE;;7,563186854
Afganistán;AFG;Asia meridional;11,71000004
;AFW;;6,774913787
Angola;AGO;África al sur del Sahara (excluido altos ingresos);8,333000183
Albania;ALB;Europa y Asia central (excluido altos ingresos);13,32900047
Andorra;AND;;
El mundo árabe;ARB;;11,48732104
Emiratos Árabes Unidos;ARE;;3,187999964
Argentina;ARG;América Latina y el Caribe (excluido altos ingresos);11,46000004
Armenia;ARM;Europa y Asia central (excluido altos ingresos);21,20599937
Samoa Americana;ASM;Asia oriental y el Pacífico (excluido altos ingresos);
Antigua y Barbuda;ATG;;
Australia;AUS;;6,460000038
Austria;AUT;;5,360000134
Azerbaiyán;AZE;Europa y Asia central (excluido altos ingresos);6,462999821
Burundi;BDI;África al sur del Sahara (excluido altos ingresos);1,707000017
Bélgica;BEL;;5,550000191
Benin;BEN;África al sur del Sahara (excluido altos ingresos);1,583999991
Burkina Faso;BFA;África al sur del Sahara (excluido altos ingresos);4,894999981
Bangladesh;BGD;Asia meridional;5,413000107
Bulgaria;BGR;Europa y Asia central (excluido altos ingresos);5,119999886
Bahrein;BHR;;1,781000018
Bahamas;BHS;;13,3210001
Bosnia y Herzegovina;BIH;Europa y Asia central (excluido altos ingresos);15,26500034
Belarús;BLR;Europa y Asia central (excluido altos ingresos);4,768000126
Belice;BLZ;América Latina y el Caribe (excluido altos ingresos);8,461999893
Bermudas;BMU;;
Bolivia;BOL;América Latina y el Caribe (excluido altos ingresos);7,900000095
Brasil;BRA;América Latina y el Caribe (excluido altos ingresos);13,68999958
Barbados;BRB;;10,37699986
Brunei Darussalam;BRN;;7,68200016
Bhután;BTN;Asia meridional;3,648999929
Botswana;BWA;África al sur del Sahara (excluido altos ingresos);24,93000031
República Centroafricana;CAF;África al sur del Sahara (excluido altos ingresos);6,356999874
Canadá;CAN;;9,460000038
Europa Central y del Báltico;CEB;;4,37229295
Suiza;CHE;;4,820000172
Islas del Canal;CHI;;7,68599987
Chile;CHL;;11,18000031
China;CHN;Asia oriental y el Pacífico (excluido altos ingresos);5
Côte d'Ivoire;CIV;África al sur del Sahara (excluido altos ingresos);3,487999916
Camerún;CMR;África al sur del Sahara (excluido altos ingresos);3,836999893
Congo, República Democrática del;COD;África al sur del Sahara (excluido altos ingresos);5,265999794
Congo, República del;COG;África al sur del Sahara (excluido altos ingresos);22,84300041
Colombia;COL;América Latina y el Caribe (excluido altos ingresos);15,03999996
Comoras;COM;África al sur del Sahara (excluido altos ingresos);9,222999573
Cabo Verde;CPV;África al sur del Sahara (excluido altos ingresos);15,30599976
Costa Rica;CRI;América Latina y el Caribe (excluido altos ingresos);17,40999985
Estados pequeos del Caribe;CSS;;9,827410438
Cuba;CUB;América Latina y el Caribe (excluido altos ingresos);2,624000072
Curacao;CUW;;
Islas Caimán;CYM;;
Chipre;CYP;;7,590000153
República Checa;CZE;;2,549999952
Alemania;DEU;;3,809999943
Djibouti;DJI;Oriente Medio y Norte de África (excluido altos ingresos);28,38999939
Dominica;DMA;América Latina y el Caribe (excluido altos ingresos);
Dinamarca;DNK;;5,639999866
República Dominicana;DOM;América Latina y el Caribe (excluido altos ingresos);6,130000114
Argelia;DZA;Oriente Medio y Norte de África (excluido altos ingresos);12,55000019
Asia oriental y el Pacífico (excluido altos ingresos);EAP;;4,388021328
inicial del dividendo demográfico;EAR;;7,122091618
Asia oriental y el Pacífico;EAS;;4,315728177
Europa y Asia central (excluido altos ingresos);ECA;;7,80399705
Europa y Asia central;ECS;;7,182387864
Ecuador;ECU;América Latina y el Caribe (excluido altos ingresos);6,110000134
Egipto, República Árabe de;EGY;Oriente Medio y Norte de África (excluido altos ingresos);9,166999817
Zona del Euro;EMU;;7,825306891
Eritrea;ERI;África al sur del Sahara (excluido altos ingresos);7,864999771
España;ESP;;15,52999973
Estonia;EST;;6,800000191
Etiopía;ETH;África al sur del Sahara (excluido altos ingresos);3,236999989
Unión Europea;EUU;;7,045764726
Frágiles y situaciones de conflicto afectados;FCS;;7,330389115
Finlandia;FIN;;7,760000229
Fiji;FJI;Asia oriental y el Pacífico (excluido altos ingresos);4,715000153
Francia;FRA;;8,010000229
Islas Feroe;FRO;;
Micronesia (Estados Federados de);FSM;Asia oriental y el Pacífico (excluido altos ingresos);
Gabón;GAB;África al sur del Sahara (excluido altos ingresos);21,97200012
Reino Unido;GBR;;4,472000122
Georgia;GEO;Europa y Asia central (excluido altos ingresos);18,5
Ghana;GHA;África al sur del Sahara (excluido altos ingresos);4,651000023
Gibraltar;GIB;;
Guinea;GIN;África al sur del Sahara (excluido altos ingresos);6,103000164
Gambia;GMB;África al sur del Sahara (excluido altos ingresos);11,08100033
Guinea-Bissau;GNB;África al sur del Sahara (excluido altos ingresos);6,736999989
Guinea Ecuatorial;GNQ;África al sur del Sahara (excluido altos ingresos);9,901000023
Grecia;GRC;;16,29999924
Granada;GRD;América Latina y el Caribe (excluido altos ingresos);
Groenlandia;GRL;;
Guatemala;GTM;América Latina y el Caribe (excluido altos ingresos);3,552999973
Guam;GUM;;6,802000046
Guyana;GUY;América Latina y el Caribe (excluido altos ingresos);16,43099976
Ingreso alto;HIC;;6,486021631
Hong Kong, Región Administrativa Especial;HKG;;5,829999924
Honduras;HND;América Latina y el Caribe (excluido altos ingresos);8,373000145
Países pobres muy endeudados (PPME);HPC;;5,432760613
Croacia;HRV;;7,510000229
Haití;HTI;América Latina y el Caribe (excluido altos ingresos);15,45100021
Hungría;HUN;;4,25
Sólo BIRF;IBD;;6,878731356
BIRF y la AIF;IBT;;6,607472064
total de la AIF;IDA;;5,701855468
mezcla de la AIF;IDB;;6,593901906
Indonesia;IDN;Asia oriental y el Pacífico (excluido altos ingresos);4,28000021
Sólo AIF;IDX;;5,306300139
Isla de Man;IMN;;
India;IND;Asia meridional;7,997000217
No clasificado;INX;;
Irlanda;IRL;;5,619999886
Irán, República Islámica del;IRN;Oriente Medio y Norte de África (excluido altos ingresos);12,16899967
Iraq;IRQ;Oriente Medio y Norte de África (excluido altos ingresos);14,0880003
Islandia;ISL;;5,480000019
Israel;ISR;;4,329999924
Italia;ITA;;9,159999847
Jamaica;JAM;América Latina y el Caribe (excluido altos ingresos);9,479999542
Jordania;JOR;Oriente Medio y Norte de África (excluido altos ingresos);19,02599907
Japón;JPN;;2,799999952
Kazajstán;KAZ;Europa y Asia central (excluido altos ingresos);4,889999866
Kenya;KEN;África al sur del Sahara (excluido altos ingresos);5,729000092
Kirguistán;KGZ;Europa y Asia central (excluido altos ingresos);8,706000328
Camboya;KHM;Asia oriental y el Pacífico (excluido altos ingresos);0,331
Kiribati;KIR;Asia oriental y el Pacífico (excluido altos ingresos);
Saint Kitts y Nevis;KNA;;
Corea, República de;KOR;;3,930000067
Kuwait;KWT;;3,539000034
América Latina y el Caribe (excluido altos ingresos);LAC;;10,17478618
República Democrática Popular Lao;LAO;Asia oriental y el Pacífico (excluido altos ingresos);1,034000039
Líbano;LBN;Oriente Medio y Norte de África (excluido altos ingresos);13,29699993
Liberia;LBR;África al sur del Sahara (excluido altos ingresos);3,980000019
Libia;LBY;Oriente Medio y Norte de África (excluido altos ingresos);20,06599998
Santa Lucía;LCA;América Latina y el Caribe (excluido altos ingresos);16,8920002
